id,nombre,ciudad,estadio,escudo_url,fundacion,color_principal
1,América de Cali,Cali,Estadio Olímpico Pascual Guerrero,https://www.footylogos.com/logos/america-de-cali,1927,#D71920
2,Atlético Nacional,Medellín,Estadio Atanasio Girardot,https://www.footylogos.com/logos/atletico-nacional,1947,#00843D
3,Millonarios,Bogotá,Estadio Nemesio Camacho El Campín,https://www.footylogos.com/logos/millonarios,1946,#0057B8
4,Independiente Santa Fe,Bogotá,Estadio Nemesio Camacho El Campín,https://www.footylogos.com/logos/independiente-santa-fe,1941,#D71920
5,Independiente Medellín,Medellín,Estadio Atanasio Girardot,https://www.footylogos.com/logos/independiente-medellin,1913,#D71920
6,Junior,Barranquilla,Estadio Metropolitano Roberto Meléndez,https://www.footylogos.com/logos/junior,1924,#D71920
7,Deportivo Cali,Cali,Estadio Deportivo Cali,https://www.footylogos.com/logos/deportivo-cali,1912,#009B3A
8,Deportes Tolima,Ibagué,Estadio Manuel Murillo Toro,https://www.footylogos.com/logos/deportes-tolima,1954,#7A0019
9,Once Caldas,Manizales,Estadio Palogrande,https://www.footylogos.com/logos/once-caldas,1961,#FFFFFF
10,Atlético Bucaramanga,Bucaramanga,Estadio Américo Montanini,https://www.footylogos.com/logos/atletico-bucaramanga,1949,#FFD100
11,Deportivo Pasto,Pasto,Estadio Departamental Libertad,https://www.footylogos.com/logos/deportivo-pasto,1949,#D71920
12,Deportivo Pereira,Pereira,Estadio Hernán Ramírez Villegas,https://www.footylogos.com/logos/deportivo-pereira,1944,#F4C300
13,Alianza FC,Valledupar,Estadio Armando Maestre Pavajeau,https://www.footylogos.com/logos/alianza-fc,1991,#1E3A8A
14,Águilas Doradas,Rionegro,Estadio Alberto Grisales,https://www.footylogos.com/logos/aguilas-doradas,2008,#F2C200
15,Fortaleza CEIF,Bogotá,Estadio Metropolitano de Techo,https://www.footylogos.com/logos/fortaleza-ceif,2010,#D71920
16,Boyacá Chicó,Tunja,Estadio La Independencia,https://www.footylogos.com/logos/boyaca-chico,2002,#1E3A8A
17,Llaneros FC,Villavicencio,Estadio Bello Horizonte Rey Pelé,https://www.footylogos.com/logos/llaneros-fc,2012,#0047AB
18,Jaguares de Córdoba,Montería,Estadio Jaraguay,https://www.footylogos.com/logos/jaguares-de-cordoba,2012,#00A651
19,Cúcuta Deportivo,Cúcuta,Estadio General Santander,https://www.footylogos.com/logos/cucuta-deportivo,1924,#D71920
20,Internacional de Bogotá,Bogotá,Estadio Metropolitano de Techo,https://www.footylogos.com/logos/internacional-de-bogota,1982,#0F3D91
